carrera,semestre_actual,promedio_notas,asistencia_porcentaje,materias_reprobadas_acum,trabaja,horas_trabajo_semanal,actividad_canvas_semanal,tiene_beca,deuda_pendiente_usd,vive_fuera_de_quito,visitas_tutoria_semestre,participa_extracurricular,flag_cero_visitas_tutoria_semestre,flag_cero_asistencia_porcentaje,deserto_semestre
Negocios_Digitales,7,5.32,76.5,2,1,12,10,0,1751.9,1,0,1,1,0,0
Informática,2,8.43,69.5,1,0,0,17,0,1577.67,1,3,1,0,0,0
Software,5,6.75,83.5,0,0,0,12,1,0.0,0,4,1,0,0,0
Negocios_Digitales,1,6.42,89.3,0,1,47,16,1,0.0,1,3,1,0,0,0
Informática,7,8.72,69.2,1,0,0,15,0,1768.47,0,1,1,0,0,0
Ciberseguridad,8,8.58,84.9,0,0,0,13,0,665.69,0,0,1,1,0,0
Informática,3,6.33,80.5,0,0,0,10,1,0.0,1,0,0,1,0,0
Software,3,6.43,82.6,2,0,0,17,0,551.68,0,1,0,0,0,0
Negocios_Digitales,2,5.94,79.3,1,0,0,9,1,0.0,0,3,1,0,0,0
Software,8,8.28,72.0,0,0,0,17,1,0.0,0,0,1,1,0,0
Informática,3,9.35,90.7,2,1,21,10,0,455.59,0,0,1,1,0,0
Informática,7,6.21,83.6,0,0,0,8,0,1924.2,0,1,1,0,0,0
Negocios_Digitales,4,8.61,80.4,1,1,29,10,1,0.0,0,1,0,0,0,0
Informática,2,7.44,80.8,0,1,35,16,1,0.0,1,1,0,0,0,0
Software,1,3.58,77.3,0,0,0,7,0,1341.0,0,1,1,0,0,1
Informática,3,5.77,42.9,1,1,47,13,1,0.0,0,1,0,0,0,0
Software,1,6.08,80.2,2,0,0,10,0,1075.83,0,1,0,0,0,1
Informática,6,6.67,86.0,0,0,0,16,0,4.25,0,0,1,1,0,0
Software,6,4.04,79.9,0,0,0,21,0,919.61,0,3,1,0,0,0
Informática,8,7.77,79.9,0,0,0,14,0,623.17,1,1,0,0,0,0
Diseño_Digital,7,7.46,88.2,3,0,0,16,0,1055.39,0,2,1,0,0,1
Negocios_Digitales,3,6.2,43.9,1,1,10,13,1,0.0,0,0,0,1,0,0
Negocios_Digitales,6,4.14,79.6,1,0,0,12,0,1315.28,0,1,0,0,0,1
Negocios_Digitales,6,7.28,52.9,1,0,0,14,0,913.41,0,1,1,0,0,0
Negocios_Digitales,2,6.9,57.0,1,1,39,13,0,1650.51,0,0,0,1,0,1
Negocios_Digitales,2,7.76,56.8,0,0,0,13,0,1761.1,0,1,1,0,0,0
Diseño_Digital,6,9.83,76.8,1,1,17,11,0,1275.06,0,0,1,1,0,0
Diseño_Digital,6,5.69,75.6,2,0,0,17,0,1472.53,1,0,0,1,0,1
Software,7,8.28,57.5,0,0,0,5,0,525.05,0,0,1,1,0,0
Software,4,5.79,71.4,1,1,37,13,1,0.0,1,0,0,1,0,0
Negocios_Digitales,5,6.74,63.1,0,0,0,10,0,1183.98,0,1,1,0,0,0
Software,2,5.42,48.2,0,0,0,15,0,1745.1,1,2,0,0,0,0
Diseño_Digital,1,6.04,70.1,0,1,29,12,0,529.45,0,2,0,0,0,0
Negocios_Digitales,1,6.45,57.5,1,0,0,13,1,0.0,0,1,1,0,0,0
Software,2,4.43,58.1,0,1,28,10,0,1372.18,0,3,0,0,0,1
Diseño_Digital,7,10.0,84.6,3,1,46,17,0,1859.5,0,1,1,0,0,1
Informática,5,7.55,54.2,3,0,0,5,0,710.17,1,2,0,0,0,1
Software,7,7.04,61.4,1,0,0,12,0,1638.52,0,0,0,1,0,0
Informática,2,7.06,49.5,0,0,0,15,0,1141.86,1,1,0,0,0,0
Diseño_Digital,1,7.29,76.1,0,1,43,5,1,0.0,1,0,1,1,0,0
Informática,7,4.42,61.9,2,0,0,12,0,254.14,0,0,1,1,0,1
Negocios_Digitales,8,5.41,80.3,2,1,22,15,1,0.0,1,3,1,0,0,0
Diseño_Digital,7,8.28,81.2,0,1,41,16,1,0.0,0,1,1,0,0,0
Informática,2,7.47,56.2,0,0,0,15,0,1364.23,0,1,0,0,0,1
Informática,1,8.07,61.0,1,0,0,18,0,224.43,1,2,0,0,0,0
Ciberseguridad,8,3.5,56.9,1,1,33,10,0,1258.48,1,1,1,0,0,1
Negocios_Digitales,1,9.89,84.0,2,0,0,7,1,0.0,0,1,1,0,0,1
Software,1,6.18,46.1,0,0,0,10,0,1669.54,1,1,1,0,0,0
Software,8,5.46,78.7,2,1,27,10,0,617.08,0,3,0,0,0,1
Informática,4,6.61,90.0,2,1,33,10,0,1197.72,0,1,1,0,0,0
Informática,4,7.2,74.0,1,0,0,10,1,0.0,0,0,0,1,0,0
Informática,4,7.17,75.7,0,0,0,11,1,0.0,0,0,0,1,0,0
Diseño_Digital,3,7.39,64.0,0,0,0,12,0,1200.34,0,1,0,0,0,1
Negocios_Digitales,6,4.06,72.4,0,0,0,6,0,1487.69,1,1,1,0,0,1
Informática,6,6.85,80.8,0,0,0,9,0,192.24,0,1,0,0,0,0
Software,1,5.68,56.1,0,0,0,17,0,519.49,0,1,1,0,0,1
Negocios_Digitales,3,4.73,77.6,0,1,32,11,0,667.49,0,1,0,0,0,0
Informática,5,6.93,51.1,0,1,47,12,1,0.0,0,0,1,1,0,1
Informática,8,5.83,80.7,0,1,31,13,1,0.0,0,0,1,1,0,0
Negocios_Digitales,8,5.57,74.7,1,1,47,11,0,459.18,0,1,1,0,0,0
Informática,3,6.86,78.2,1,1,32,15,0,1219.68,1,1,1,0,0,0
Software,6,9.09,85.3,0,1,34,8,0,103.19,1,2,0,0,0,0
Informática,4,7.7,85.8,0,1,31,10,0,1796.01,1,2,1,0,0,0
Informática,5,6.33,89.1,0,0,0,11,0,640.79,0,0,1,1,0,0
Informática,7,8.65,68.4,1,1,35,10,1,0.0,1,0,0,1,0,1
Informática,6,6.59,56.9,1,1,42,16,0,725.66,1,3,0,0,0,0
Informática,6,7.28,57.9,0,0,0,10,0,1155.77,0,3,0,0,0,0
Software,2,5.73,45.4,0,0,0,14,1,0.0,0,1,0,0,0,1
Diseño_Digital,5,5.5,84.3,0,0,0,7,0,459.2,1,0,1,1,0,1
Negocios_Digitales,4,7.17,79.1,2,1,26,8,0,19.35,0,1,1,0,0,0
Ciberseguridad,4,7.06,79.2,0,1,20,13,0,88.93,0,2,0,0,0,0
Negocios_Digitales,8,4.38,62.7,0,0,0,8,1,0.0,0,1,1,0,0,1
Software,7,6.98,90.8,0,0,0,14,0,986.77,0,0,0,1,0,1
Software,3,9.59,89.9,0,0,0,15,1,0.0,0,0,1,1,0,0
Informática,2,7.15,77.1,0,0,0,17,1,0.0,0,1,0,0,0,0
Negocios_Digitales,7,5.79,61.8,1,0,0,12,0,927.64,0,1,0,0,0,0
Software,4,6.63,51.9,0,1,23,9,0,861.24,0,3,0,0,0,1
Software,6,5.82,68.9,1,1,10,13,1,0.0,0,0,0,1,0,0
Negocios_Digitales,2,6.58,74.2,0,0,0,15,0,1259.93,1,1,1,0,0,0
Software,3,8.89,59.7,0,1,42,13,1,0.0,0,1,0,0,0,0
Diseño_Digital,6,5.56,70.8,0,1,31,11,0,1990.1067999999998,1,0,0,1,0,1
Informática,1,4.96,43.8,2,0,0,13,1,0.0,0,3,1,0,0,1
Informática,1,8.14,71.1,0,0,0,13,1,0.0,0,0,1,1,0,0
Diseño_Digital,3,8.7,92.0,0,0,0,8,0,252.82,0,2,1,0,0,0
Informática,1,6.86,60.7,0,0,0,12,0,985.59,0,1,0,0,0,1
Software,5,9.39,93.0,1,0,0,10,0,258.5,0,1,0,0,0,0
Informática,8,5.57,60.5,0,0,0,13,0,1207.63,0,2,1,0,0,1
Negocios_Digitales,5,5.34,68.6,0,1,17,10,1,0.0,0,0,0,1,0,0
Software,4,8.1,68.6,1,1,33,11,1,0.0,0,0,1,1,0,0
Informática,2,5.94,84.1,0,0,0,12,1,0.0,1,1,0,0,0,0
Negocios_Digitales,2,6.56,46.6,0,0,0,15,0,735.43,0,0,0,1,0,1
Negocios_Digitales,2,6.96,86.8,2,1,21,9,1,0.0,0,0,0,1,0,0
Informática,7,6.06,76.2,1,0,0,16,0,348.55,0,0,1,1,0,0
Software,5,9.02,80.3,1,0,0,16,0,1845.52,0,1,0,0,0,0
Negocios_Digitales,7,4.94,31.8,2,1,15,18,0,1702.1,1,0,0,1,0,1
Software,5,5.45,67.9,0,0,0,13,0,1608.8,0,2,1,0,0,1
Negocios_Digitales,3,4.55,34.8,0,0,0,13,0,1788.66,0,2,1,0,0,1
Informática,5,6.4,63.6,0,0,0,17,0,776.41,0,1,0,0,0,1
Software,8,7.6,69.2,0,0,0,18,0,1990.09,0,2,1,0,0,0
Diseño_Digital,3,6.31,77.8,1,0,0,13,1,0.0,0,2,0,0,0,0
Diseño_Digital,7,8.48,52.2,1,1,29,16,0,488.92,1,1,1,0,0,0
Informática,2,9.04,78.8,0,0,0,17,1,0.0,0,4,0,0,0,0
Diseño_Digital,2,6.78,51.8,0,1,34,11,1,0.0,0,1,1,0,0,1
Negocios_Digitales,3,9.7,91.6,0,1,39,14,0,1162.45,0,0,0,1,0,1
Ciberseguridad,5,8.42,67.8,1,1,29,12,1,0.0,0,0,1,1,0,0
Informática,8,9.21,44.5,0,0,0,14,0,201.08,1,0,0,1,0,0
Informática,3,7.29,74.1,3,0,0,14,1,0.0,0,3,0,0,0,0
Software,5,5.59,88.5,0,0,0,12,0,1004.92,1,2,1,0,0,1
